[n=14 it=1 t=0s] min-decomp=5 (bound 6) m=57
[n=14 it=200 t=14s] cur=5 best=5 m=48 cache=156
[n=14 it=400 t=29s] cur=5 best=5 m=49 cache=317
[n=14 it=600 t=44s] cur=5 best=5 m=56 cache=472
[n=14 it=800 t=58s] cur=5 best=5 m=51 cache=627
[n=14 it=1000 t=72s] cur=5 best=5 m=55 cache=779
[n=14 it=1200 t=88s] cur=5 best=5 m=50 cache=933
[n=14 it=1400 t=103s] cur=5 best=5 m=56 cache=1086
[n=14 it=1800 t=130s] cur=4 best=5 m=49 cache=1379
[n=14 it=2000 t=144s] cur=5 best=5 m=54 cache=1531
[n=14 it=2200 t=158s] cur=5 best=5 m=54 cache=1688
[n=14 it=2400 t=172s] cur=4 best=5 m=49 cache=1841
[n=14 it=2600 t=188s] cur=5 best=5 m=52 cache=1992
[n=14 it=3000 t=220s] cur=5 best=5 m=56 cache=2302
[n=14 it=3400 t=250s] cur=5 best=5 m=53 cache=2604
[n=14 it=3600 t=264s] cur=5 best=5 m=49 cache=2756
[n=14 it=3800 t=280s] cur=5 best=5 m=55 cache=2904
[n=14 it=4000 t=301s] cur=5 best=5 m=52 cache=3062
[n=14 it=4200 t=318s] cur=5 best=5 m=53 cache=3222
[n=14 it=4400 t=331s] cur=5 best=5 m=58 cache=3366
[n=14 it=4600 t=346s] cur=5 best=5 m=53 cache=3522
[n=14 it=5000 t=374s] cur=4 best=5 m=50 cache=3827
[n=14 it=5600 t=429s] cur=5 best=5 m=51 cache=4270
[n=14 it=5800 t=446s] cur=5 best=5 m=54 cache=4421
[n=14 it=6000 t=462s] cur=5 best=5 m=51 cache=4576
[n=14 it=6200 t=478s] cur=4 best=5 m=48 cache=4718
[n=14 it=6400 t=492s] cur=5 best=5 m=51 cache=4869
[n=14 it=6800 t=524s] cur=4 best=5 m=46 cache=5173
[n=14 it=7000 t=538s] cur=5 best=5 m=53 cache=5322
[n=14 it=7200 t=553s] cur=5 best=5 m=55 cache=5472
[n=14 it=7600 t=585s] cur=5 best=5 m=52 cache=5779
[n=14 it=7800 t=598s] cur=5 best=5 m=48 cache=5925
[n=14 it=8000 t=614s] cur=5 best=5 m=53 cache=6071
[n=14 it=8200 t=629s] cur=5 best=5 m=49 cache=6217
[n=14 it=8400 t=646s] cur=5 best=5 m=52 cache=6374
[n=14 it=8600 t=661s] cur=5 best=5 m=58 cache=6519
[n=14 it=8800 t=678s] cur=5 best=5 m=50 cache=6673
[n=14 it=9000 t=693s] cur=5 best=5 m=46 cache=6811
[n=14 it=9200 t=709s] cur=5 best=5 m=56 cache=6970
[n=14 it=9400 t=724s] cur=5 best=5 m=52 cache=7121
[n=14 it=9600 t=739s] cur=5 best=5 m=52 cache=7262
[n=14 it=9800 t=754s] cur=5 best=5 m=48 cache=7409
[n=14 it=10200 t=785s] cur=5 best=5 m=58 cache=7721
[n=14 it=10600 t=817s] cur=5 best=5 m=52 cache=8018
[n=14 it=10800 t=834s] cur=5 best=5 m=55 cache=8176
[n=14 it=11000 t=849s] cur=5 best=5 m=52 cache=8316
[n=14 it=11200 t=864s] cur=5 best=5 m=51 cache=8464
[n=14 it=11800 t=914s] cur=5 best=5 m=51 cache=8934
[n=14 it=12000 t=929s] cur=5 best=5 m=53 cache=9084
[n=14 it=12200 t=945s] cur=5 best=5 m=47 cache=9229
[n=14 it=12400 t=960s] cur=5 best=5 m=55 cache=9377
[n=14 it=12600 t=976s] cur=4 best=5 m=51 cache=9537
[n=14 it=12800 t=991s] cur=5 best=5 m=49 cache=9693
[n=14 it=13200 t=1026s] cur=5 best=5 m=53 cache=10003
[n=14 it=13400 t=1044s] cur=5 best=5 m=55 cache=10156
[n=14 it=13600 t=1060s] cur=5 best=5 m=55 cache=10315
[n=14 it=14000 t=1095s] cur=5 best=5 m=54 cache=10639
[n=14 it=14200 t=1110s] cur=5 best=5 m=58 cache=10783
[n=14 it=14400 t=1127s] cur=5 best=5 m=55 cache=10938
[n=14 it=14600 t=1142s] cur=5 best=5 m=52 cache=11086
[n=14 it=14800 t=1158s] cur=5 best=5 m=50 cache=11234
[n=14 it=15200 t=1190s] cur=5 best=5 m=52 cache=11547
[n=14 it=15400 t=1206s] cur=5 best=5 m=54 cache=11701
[n=14 it=15600 t=1221s] cur=5 best=5 m=55 cache=11852
[n=14 it=15800 t=1238s] cur=5 best=5 m=56 cache=12011
[n=14 it=16000 t=1254s] cur=5 best=5 m=52 cache=12162
[n=14 it=16200 t=1269s] cur=4 best=5 m=46 cache=12303
[n=14 it=16400 t=1285s] cur=5 best=5 m=53 cache=12456
[n=14 it=16800 t=1315s] cur=4 best=5 m=49 cache=12761
[n=14 it=17000 t=1332s] cur=5 best=5 m=59 cache=12918
[n=14 it=17400 t=1364s] cur=5 best=5 m=53 cache=13217
[n=14 it=17600 t=1380s] cur=5 best=5 m=56 cache=13374
[n=14 it=17800 t=1398s] cur=5 best=5 m=56 cache=13541
[n=14 it=18000 t=1413s] cur=5 best=5 m=52 cache=13694
[n=14 it=18400 t=1447s] cur=5 best=5 m=48 cache=14015
[n=14 it=18600 t=1465s] cur=5 best=5 m=53 cache=14168
[n=14 it=18800 t=1482s] cur=5 best=5 m=56 cache=14326
[n=14 it=19000 t=1496s] cur=5 best=5 m=52 cache=14475
[n=14 it=19200 t=1513s] cur=5 best=5 m=55 cache=14627
[n=14 it=19400 t=1530s] cur=5 best=5 m=52 cache=14791
[n=14 it=19600 t=1547s] cur=5 best=5 m=52 cache=14942
[n=14 it=19800 t=1563s] cur=5 best=5 m=54 cache=15090
[n=14 it=20200 t=1594s] cur=5 best=5 m=57 cache=15381
[n=14 it=20400 t=1612s] cur=5 best=5 m=51 cache=15537
[n=14 it=21000 t=1662s] cur=5 best=5 m=52 cache=15990
[n=14 it=21200 t=1679s] cur=5 best=5 m=52 cache=16145
[n=14 it=21600 t=1714s] cur=5 best=5 m=52 cache=16470
[n=14 it=21800 t=1730s] cur=5 best=5 m=50 cache=16627
[n=14 it=22000 t=1749s] cur=5 best=5 m=58 cache=16783
[n=14 it=22200 t=1766s] cur=5 best=5 m=54 cache=16943
[n=14 it=23000 t=1832s] cur=5 best=5 m=53 cache=17572
[n=14 it=23600 t=1878s] cur=5 best=5 m=47 cache=18031
[n=14 it=23800 t=1894s] cur=5 best=5 m=55 cache=18182
[n=14 it=24200 t=1925s] cur=5 best=5 m=57 cache=18483
